,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q6869724,,,,,,,,,,1.0,,
Q690869,,,,,,,,,,1.0,1.0,
Q691037,,,,,,,,,,3.0,,
Q6938771,,,,,,,,,,1.0,,
Q69798,,,,,,,,,,,2.0,
Q699958,,,,,,,,,,,1.0,
Q700469,,,,,,,,,,1.0,16.0,
Q7015349,,,,,,,,,,1.0,2.0,
Q702220,,,,,,,,,,,1.0,
Q7023212,,,,,,,,,,,1.0,
Q702327,,,,,,,,,,,1.0,
Q703914,,,,,,,,,,,1.0,
Q7042073,,,,,,,,,,,1.0,
Q707133,,,,,,,,,,,1.0,
Q7129609,2.0,,,,,,,,,115.0,57.0,
Q7136687,,,,,,,,,,,1.0,
Q7141853,,,,,,,,,,,1.0,
Q7171142,,,,,,,,,,1.0,,
Q7179411,,,,,,,,,,1.0,,
Q7198563,,,,,,,,,,1.0,,
Q7204,,,,,,,,,,,1.0,
Q7210051,,,,,,,,,,,4.0,
Q72484,,,,,,,,,,,1.0,
Q7258666,,,,,,,,,,5.0,,
Q726673,,,,,,,,,,1.0,1.0,
Q727928,,,,,,,,,,1.0,1.0,
Q7285855,,,,,,,,,,,1.0,
Q732317,,,,,,,,,,,3.0,
Q7325,1.0,,,,,,,,,30.0,157.0,
Q7382021,,,,,,,,,,1.0,,
Q739970,,,,,,,,,,,4.0,
Q7403051,,,,,,,,,,1.0,,
Q740417,,,,,,,,,,1.0,5.0,
Q7429947,,,,,,,,,,,1.0,
Q748316,,,,,,,,,,,1.0,
Q7507476,,,,,,,,,,,2.0,
Q7508597,,,,,,,,,,,1.0,
Q7513830,,,,,,,,,,,1.0,
Q7523309,,,,,,,,,,1.0,,
Q752526,,,,,,,,,,,2.0,
Q7586018,,,,,,,,,,,1.0,
Q7654589,,,,,,,,,,1.0,,
Q766,,,,,,,,,,,1.0,
Q7663489,,,,,,,,,,,1.0,
Q7709099,,,,,,,,,,1.0,,
Q771405,,,,,,,,,,1.0,1.0,
Q7764833,,,,,,,,,,1.0,,
Q777586,,,,,,,,,,,10.0,
Q779191,,,,,,,,,,1.0,,
Q7826175,,,,,,,,,,,1.0,
Q7842496,,,,,,,,,,1.0,,
Q7856433,,,,,,,,,,1.0,,
Q788321,,,,,,,,,,,1.0,
Q794,,,,,,,,,,1.0,,
Q79797,,,,,,,,,,5.0,18.0,
Q7994447,,,,,,,,,,,1.0,
Q7994501,,,,,,,,,,32.0,54.0,
Q7994663,,,,,,,,,,,1.0,
Q7994805,,,,,,,,,,1.0,,
Q799929,,,,,,,,,,2.0,3.0,
Q800167,,,,,,,,,,1.0,2.0,
Q80040,,,,,,,,,,,2.0,
Q804430,,,,,,,,,,,3.0,
Q8060,,,,,,,,,,3.0,5.0,
Q807005,,,,,,,,,,,1.0,
Q807012,,,,,,,,,,1.0,1.0,
Q817393,,,,,,,,,,2.0,1.0,
Q819186,,,,,,,,,,,1.0,
Q822,,,,,,,,,,1.0,,
Q83328,,,,,,,,,,,2.0,
Q83418,,,,,,,,,,,7.0,
Q836076,,,,,,,,,,,3.0,
Q837549,,,,,,,,,,,1.0,
Q837881,,,,,,,,,,,1.0,
Q84072,,,,,,,,,,7.0,19.0,
Q841351,,,,,,,,,,,1.0,
Q842438,,,,,,,,,,7.0,10.0,
Q843,,,,,,,,,,,1.0,
Q846570,,,,,,,,,,1.0,,
Q849811,,,,,,,,,,,1.0,
Q849967,,,,,,,,,,,1.0,
Q851,,,,,,,,,,,1.0,
Q851575,,,,,,,,,,,1.0,
Q854,,,,,,,,,,,1.0,
